name,id,debut year,company,song,media_url
Seo Taiji & Kids (서태지와 아이들),1,1992,,Come Back Home,
TVXQ! (동방신기),2,2003,SM,Mirotic (주문),
BIGBANG,3,2006,YG,BANG BANG BANG,
Girls' Generation (소녀시대),4,2007,SM,Gee,
Wonder Girls,5,2007,JYP,Tell Me,
2PM,6,2008,JYP,My House (우리집),
SHINee,7,2008,SM,Replay (누난 너무 예뻐),
2NE1,8,2009,YG,I AM THE BEST (내가 제일 잘 나가),
f(x),9,2009,SM,4 Walls,
EXO,11,2012,SM,Love Shot,
BTS (방탄소년단),12,2013,Big Hit (now HYBE),Dynamite,
GOT7,13,2014,JYP,You Calling My Name (니가 부르는 나의 이름),
Red Velvet,14,2014,SM,Psycho,
WINNER,15,2014,YG,REALLY REALLY,
SEVENTEEN,16,2015,Pledis (now HYBE),Super (손오공),
TWICE,17,2015,JYP,FANCY,
NCT,18,2016,SM,Love Talk (English ver by WayV),
BLACKPINK,19,2016,YG,How You Like That,
Stray Kids,20,2018,JYP,God's Menu (神메뉴),
(G)I-DLE ((여자)아이들),21,2018,Cube,Queencard (퀸카),
ITZY,22,2019,JYP,WANNABE,
TXT (TOMORROW X TOGETHER),23,2019,Big Hit (now HYBE),0X1=LOVESONG (I Know I Love You) feat. Seori,
TREASURE,24,2020,YG,DARARI,
aespa,25,2020,SM,Next Level,
ENHYPEN,26,2020,Belift Lab (HYBE),FEVER,
IVE,27,2021,Starship,LOVE DIVE,
NMIXX,28,2022,JYP,O.O,
LE SSERAFIM,29,2022,Source Music (now HYBE),ANTIFRAGILE,
NewJeans / NJZ,30,2022,,OMG,
ZEROBASEONE,31,2023,WakeOne (Boys Planet),In Bloom,
RIIZE,32,2023,SM,Get A Guitar,
BABYMONSTER,33,2023,YG,SHEESH,
TWS (투어스),34,2024,Pledis (now HYBE),plot twist (첫 만남은 계획대로 되지 않아),
ILLIT,35,2024,Belift Lab (HYBE),Magnetic,
KATSEYE,36,2024,HYBE x Geffen,Touch,